"AT5G26360",5
"AT2G28820",43
"AT1G79930",142
"AT5G63420",9
"AT1G70600",8
"AT4G23190",27
"AT5G11830",620
"AT1G52230",14
"AT3G49040",8
"AT5G08040",8
"AT3G02350",5
"AT4G23260",27
"AT4G26200",27
"AT1G51800",27
"AT5G20130",8
"AT4G12030",31
"AT4G35390",21
"AT5G13220",151
"AT1G72810",101
"AT1G75690",4
"AT1G16880",4
"AT5G06550",8
"AT1G76070",11
"AT5G46110",4
"AT2G02220",27
"AT3G53730",17
"AT4G30530",28
"AT4G30430",6
"AT4G02510",33
"AT5G19550",28
"AT3G56340",8
"AT1G34030",8
"AT3G06850",23
"AT5G44070",12
"AT1G74270",8
"AT1G07320",4
"AT3G56050",5
"AT4G01010",11
"AT1G56110",8
"AT5G39050",80
"AT5G15490",16
"AT2G34420",4
"AT4G10500",20
"AT3G56070",5
"AT2G33120",27
"AT3G56980",42
"AT5G64820",14
"AT1G79610",7
"AT1G09240",6
"AT3G57450",6
"AT5G10690",19
"AT1G02360",11
"AT3G18680",9
"AT5G24314",4
"AT1G30380",4
"AT5G20970",148
"AT5G64430",6
"AT1G72110",226
"AT1G09940",12
"AT5G37780",28
"AT1G21525",464
"AT2G46500",15
"AT2G37220",4
"AT5G02450",8
"AT1G35710",20
"AT5G59870",17
"AT3G47600",244
"AT2G34357",2
"AT5G57220",12
"AT2G18700",23
"AT5G04160",16
"AT1G30290",223
"AT5G45000",47
"AT3G29034",47
"AT2G21730",39
"AT2G43030",73
"AT2G38140",4
"AT4G08300",224
"AT3G10530",14
"AT3G50370",30
"AT2G31865",12
"AT4G20360",4
"AT1G09690",8
"AT3G46320",17
"AT2G24270",4
"AT2G35270",21
"AT4G21280",7
"AT1G20480",173
"AT1G51650",1
"AT5G19120",23
"AT4G00870",37
"AT5G40230",20
"AT5G40950",4
"AT1G74070",9
"AT4G00720",422
"AT5G35940",121
"AT2G37090",50
"AT4G01610",7
"AT3G47670",21
"AT5G65020",417
"AT5G08610",33
"AT1G54215",21
"AT3G07700",3
"AT5G05500",25
"AT5G64930",17
"AT3G53900",7
"AT3G01480",4
"AT1G68310",92
"AT4G28080",4
"AT5G51550",44
"AT5G54370",25
"AT2G42740",8
"AT1G25560",23
"AT3G22660",5
"AT5G20600",2
"AT1G67690",34
"AT1G71520",11
"AT4G23180",12
"AT5G55990",150
"AT1G51610",33
"AT3G53740",8
"AT3G05360",65
"AT1G26910",86
"AT2G25080",4
"AT4G33050",12
"AT3G28450",12
"AT2G26380",15
"AT1G76270",101
"AT3G28860",19
"AT5G61210",11
"AT5G10760",20
"AT3G20050",8
"AT2G16720",166
"AT1G10040",412
"AT4G05632",3
"AT2G27310",11
"AT1G67860",410
"AT3G53020",8
"AT2G45180",7
"AT3G44370",21
"AT5G18490",15
"AT4G19006",408
"AT2G41240",42
"AT4G19515",6
"AT3G02800",11
"AT3G59080",12
"AT5G19990",3
"AT5G22920",23
"AT2G32730",10
"AT2G37430",11
"AT2G36620",8
"AT2G46140",154
"AT1G69900",11
"AT2G24730",8
"AT2G31860",4
"AT4G24780",44
"AT4G23660",191
"AT4G14342",1
"AT4G32340",219
"AT1G15820",4
"AT4G18730",8
"AT3G10930",6
"AT1G73805",12
"AT2G41620",2
"AT2G31430",5
"AT4G21580",18
"AT3G01720",89
"AT2G04030",2
"AT1G77180",10
"AT2G34160",1
"AT5G63470",21
"AT3G51190",8
"AT5G67560",172
"AT2G32700",45
"AT4G21865",406
"AT2G27900",2
"AT1G50370",146
"AT1G52220",7
"AT2G37040",15
"AT2G20670",23
"AT2G26300",405
"AT2G30560",21
"AT5G23740",8
"AT2G31090",402
"AT4G21310",217
"AT5G19940",4
