gene1,gene2,value,rank
AT5G04140,AT5G51750,0.1820635845719618,6
AT5G59080,AT4G00230,0.1117880297338163,6
AT1G15950,AT1G51680,0.2162351629400321,6
AT3G26210,AT5G40780,0.33199039022590004,6
AT1G51890,AT3G26210,0.428135669403211,6
AT1G32970,AT5G59100,0.10665580927952843,6
AT1G51620,AT5G39580,0.4847532510709454,6
AT1G15950,AT5G59080,0.13325635892732726,6
AT3G49780,AT1G65690,0.37471853084789664,6
AT4G21326,AT5G11940,0.08587973605571286,6
AT5G39580,AT5G48430,0.4230007294565605,6
AT1G02450,AT3G50470,0.2893440409697372,6
AT5G06950,AT5G59810,0.09166153027263713,6
AT4G35180,AT5G40780,0.393306469837877,6
AT4G08850,AT4G31550,0.33207422609905296,6
AT2G36690,AT5G48430,0.4598105214283008,6
AT4G21326,AT1G20160,0.0885198308904187,6
AT2G25000,AT3G26210,0.2838636109738859,6
AT4G20430,AT2G04160,0.11357122361057792,7
AT1G61360,AT3G22060,0.4054752041360947,7
AT2G44370,AT1G61360,0.4935139296156668,7
AT2G05920,AT3G50470,0.28249713854961245,7
AT5G44585,AT5G67450,0.35145136463036697,7
AT2G05920,AT3G29034,0.3529626688107206,7
AT1G15950,AT1G30600,0.1264885258853059,7
AT5G59190,AT2G41220,0.11146859847957112,7
AT4G08850,AT3G19930,0.32038264789635185,7
AT2G25000,AT3G21080,0.2903229359532151,7
AT1G66220,AT5G59100,0.09751502778441057,7
AT5G50200,AT5G40780,0.3309826129508213,7
AT4G00230,AT3G19450,0.11367981090798952,7
AT5G01540,AT1G51620,0.4847063005087622,7
AT4G01250,AT3G22060,0.40616353447455067,7
AT4G35180,AT4G23210,0.378402138258072,7
AT4G21870,AT2G31400,0.1015108697087912,7
AT4G28140,AT5G58820,0.09335724454600314,7
AT5G07440,AT2G37040,0.20668591022301008,7
AT5G66420,AT5G39580,0.4017671038417234,7
AT2G30490,AT2G17740,0.38285572304081295,7
AT1G51890,AT5G40780,0.4203914890975704,7
AT1G70530,AT4G20860,0.3838435910116067,7
AT1G04110,AT4G39400,0.08473380536034703,7
AT4G23210,AT1G61380,0.3176182107547261,7
AT1G52200,AT1G51890,0.4396123567620398,7
AT5G58820,AT4G00230,0.09301747184162013,7
AT3G14240,AT1G65690,0.3720247029450763,7
AT2G39200,AT1G30730,0.49887478696374,7
AT1G51800,AT4G08850,0.34866967387107506,7
AT5G01540,AT4G38560,0.38416218603873786,8
