gene1,gene2,value
AT1G65690,AT2G42360,0.4231997671216097
AT2G42360,AT1G65690,0.4231997671216097
AT5G48430,AT5G39580,0.4230007294565605
AT5G39580,AT5G48430,0.4230007294565605
AT5G01540,AT3G52450,0.4214961185959072
AT3G52450,AT5G01540,0.4214961185959072
AT5G48430,AT2G44370,0.42050491582424576
AT5G40780,AT1G51890,0.4203914890975704
AT1G51890,AT5G40780,0.4203914890975704
AT1G30730,AT2G02220,0.4179788148698009
AT4G20000,AT1G52200,0.4175287243034693
AT4G35180,AT5G01540,0.4165475515856447
AT5G01540,AT4G35180,0.4165475515856447
AT5G48430,AT2G39200,0.4164353720313285
AT5G01540,AT2G39200,0.4147115028820108
AT1G51800,AT2G39200,0.4146556580167138
AT1G61360,AT1G52200,0.4130030848813033
AT4G23210,AT2G44370,0.4128540032887047
AT4G01250,AT2G02220,0.4108151249739556
AT4G23210,AT5G44585,0.41041131800852937
AT5G44585,AT4G23210,0.41041131800852937
AT2G37040,AT1G51680,0.4101787836623991
AT1G51680,AT2G37040,0.4101787836623991
AT1G65690,AT5G50200,0.4083565574946011
AT5G50200,AT1G65690,0.4083565574946011
AT4G35180,AT2G44370,0.4075941084901731
AT3G52450,AT1G51620,0.4073555440161385
AT1G51620,AT3G52450,0.4073555440161385
AT4G01700,AT1G49000,0.4063324858156279
AT1G49000,AT4G01700,0.4063324858156279
AT4G01250,AT3G22060,0.40616353447455067
AT3G22060,AT4G01250,0.40616353447455067
AT1G61360,AT3G22060,0.4054752041360947
AT3G22060,AT1G61360,0.4054752041360947
AT1G51890,AT3G29034,0.4052148816069171
AT3G29034,AT1G51890,0.4052148816069171
AT4G20860,AT1G61360,0.4040433273367787
AT1G61360,AT4G20860,0.4040433273367787
AT4G35180,AT2G02220,0.4034808653471624
AT5G01540,AT1G61360,0.4032024069245213
AT1G61360,AT5G01540,0.4032024069245213
AT4G20860,AT1G52200,0.4023655535608481
AT5G66420,AT5G39580,0.4017671038417234
AT5G39580,AT5G66420,0.4017671038417234
AT4G35180,AT2G42360,0.4015784202710533
AT2G42360,AT4G35180,0.4015784202710533
AT5G01540,AT2G44370,0.401230316501878
AT1G61360,AT4G20000,0.4010986097494451
AT4G20000,AT1G61360,0.4010986097494451
AT3G22060,AT2G02220,0.40071912376552055
AT1G19380,AT1G51620,0.40048445604193694
AT1G51620,AT1G19380,0.40048445604193694
AT4G01250,AT1G61360,0.3981882337514058
AT2G44490,AT3G52450,0.3979186981762704
AT3G52450,AT2G44490,0.3979186981762704
AT4G20860,AT1G51890,0.3951050038039181
AT1G51890,AT4G20860,0.3951050038039181
AT5G48430,AT1G52200,0.3946625058285889
AT4G20000,AT1G49000,0.3939267493347738
AT1G49000,AT4G20000,0.3939267493347738
AT1G51800,AT2G17740,0.3936481319149385
AT2G17740,AT1G51800,0.3936481319149385
AT5G40780,AT4G35180,0.393306469837877
AT4G35180,AT5G40780,0.393306469837877
AT1G51890,AT2G42360,0.3929294931659659
AT2G42360,AT1G51890,0.3929294931659659
AT5G67450,AT3G50470,0.3923277208163967
AT3G50470,AT5G67450,0.3923277208163967
AT5G53110,AT1G51890,0.3910492178154579
AT2G36690,AT1G61360,0.3910060226486538
AT3G19010,AT1G61360,0.3904977350417622
AT1G30720,AT2G36690,0.3902500008698959
AT2G36690,AT1G30720,0.3902500008698959
AT5G44585,AT1G51620,0.3858943544637601
AT5G50200,AT1G52200,0.3850540113866972
AT1G49000,AT2G44370,0.3847470750269025
AT5G01540,AT4G38560,0.38416218603873786
AT4G38560,AT5G01540,0.38416218603873786
AT4G20860,AT1G70530,0.3838435910116067
AT1G70530,AT4G20860,0.3838435910116067
AT3G21080,AT2G44370,0.383579933781548
AT2G30490,AT2G17740,0.38285572304081295
AT2G17740,AT2G30490,0.38285572304081295
AT2G44490,AT2G39200,0.3822891605038843
AT1G70530,AT2G44490,0.3815604607800696
AT2G44490,AT1G70530,0.3815604607800696
AT3G52450,AT2G44370,0.3807332925509468
AT1G64280,AT2G02220,0.38066056527152936
AT1G30720,AT4G31550,0.3791967052597629
AT4G31550,AT1G30720,0.3791967052597629
AT3G19010,AT1G51800,0.3791093319970724
AT1G51800,AT3G19010,0.3791093319970724
AT3G49780,AT3G29034,0.3785053687817388
AT3G29034,AT3G49780,0.3785053687817388
AT4G35180,AT4G23210,0.378402138258072
AT4G23210,AT4G35180,0.378402138258072
AT5G53110,AT2G44370,0.3767453551404467
AT1G70530,AT1G64280,0.3751550612417667
AT1G64280,AT1G70530,0.3751550612417667
AT1G65690,AT3G49780,0.37471853084789664
AT3G49780,AT1G65690,0.37471853084789664
AT1G30720,AT2G44370,0.3733948462412247
AT2G39530,AT2G44370,0.3732477710015758
AT4G35180,AT1G51890,0.3726643803054268
AT2G39530,AT2G39200,0.3724366933915389
AT5G39580,AT2G02220,0.3721742505314953
AT5G40780,AT5G53110,0.3720345652916224
AT5G53110,AT5G40780,0.3720345652916224
AT3G14240,AT1G65690,0.3720247029450763
AT1G65690,AT3G14240,0.3720247029450763
AT2G05920,AT3G14240,0.3714039086978063
AT3G14240,AT2G05920,0.3714039086978063
AT5G53110,AT2G39200,0.3707371711881951
AT2G30490,AT1G61360,0.3699954098924423
AT3G52450,AT1G30730,0.3692162530529599
AT1G30730,AT3G52450,0.3692162530529599
AT4G31550,AT2G39200,0.3687918575791753
AT5G67450,AT1G51620,0.3684101100566204
AT3G29034,AT2G39200,0.3678895040830008
AT1G61380,AT2G02220,0.3676420560857392
AT2G17740,AT1G51620,0.36688241625008944
AT1G30720,AT4G20860,0.36518737055041295
AT4G20860,AT1G30720,0.36518737055041295
AT1G49000,AT2G02220,0.3649477650317297
AT1G61380,AT1G52200,0.3646399429658905
AT1G30730,AT1G51620,0.36433878243264495
AT4G24160,AT4G01250,0.3641140871112465
AT4G01250,AT4G24160,0.3641140871112465
AT3G22060,AT1G51620,0.36380588528713975
AT2G39530,AT2G36690,0.3635665373893968
AT5G01540,AT3G22060,0.3626607065527885
AT3G22060,AT5G01540,0.3626607065527885
AT5G53110,AT1G65690,0.36258473811421466
AT1G65690,AT5G53110,0.36258473811421466
AT1G49000,AT1G51620,0.3621474738407221
AT5G50200,AT2G17740,0.3620971635948265
AT2G17740,AT5G50200,0.3620971635948265
AT2G42360,AT1G52200,0.3616706339709808
AT5G01540,AT1G52200,0.3615003937242924
AT3G46280,AT2G44370,0.3609758789697308
AT4G20000,AT2G02220,0.3607150972539286
AT4G35180,AT2G39200,0.3603796750121204
AT1G51800,AT5G39580,0.35953521511641306
AT5G39580,AT1G51800,0.35953521511641306
AT1G30730,AT2G36690,0.3595253881864482
AT4G01250,AT2G44370,0.3594854664080289
AT3G26210,AT4G20000,0.35872685277434324
AT4G20000,AT3G26210,0.35872685277434324
