gene1,gene2,value,rank
AT5G13930,AT3G14067,0.014827629913376463,4
AT4G23210,AT1G51620,0.02589238855477032,4
AT3G52450,AT2G44490,0.047062940131550095,4
AT4G01250,AT4G31550,0.051133181898324484,4
AT2G25000,AT1G12940,0.03113779875563635,4
AT2G25000,AT2G41220,0.038142649564538805,4
AT5G59130,AT5G19660,0.032528077882486885,4
AT3G49780,AT1G51890,0.0351600551546056,4
AT5G66420,AT1G30720,0.03552726828274043,4
AT4G20430,AT2G04160,0.013506646333243041,4
AT3G46280,AT5G48430,0.030809258514732093,4
AT5G53110,AT1G49000,0.029621705407444007,4
AT5G37600,AT5G40780,0.030999597905692414,4
AT4G28140,AT1G01900,0.02154776722179925,4
AT1G66210,AT4G26330,0.014530772355770345,4
AT4G35180,AT4G38560,0.03753108645340282,4
AT4G01250,AT1G19380,0.05518539003086157,4
AT4G35180,AT5G01540,0.0364317765586708,4
AT5G51750,AT2G31400,0.0214062887271594,4
AT2G39200,AT2G36690,0.05841656673395081,4
AT5G59130,AT1G02450,0.024606364819998703,4
AT3G29034,AT2G05920,0.040498127039341185,4
AT2G19170,AT3G45060,0.021696162540641002,4
AT4G21326,AT1G66220,0.01692762499466251,4
AT4G21326,AT4G20850,0.020784882068122474,4
AT4G21326,AT1G08090,0.04186384257689524,4
AT1G51620,AT2G36690,0.046277798047892886,4
AT2G31400,AT1G20160,0.016160789710797274,4
AT2G25470,AT3G59880,0.02426808912164474,4
AT1G15950,AT2G37040,0.03036914846089215,4
AT5G66420,AT2G19190,0.02631488686949676,4
AT5G13930,AT1G35160,0.013404018687728392,4
AT5G58840,AT1G32950,0.013136139155363288,4
AT5G04140,AT2G15620,0.0312812634319613,4
AT2G30490,AT3G22060,0.035518796884988935,4
AT2G25470,AT4G27730,0.030382223057429287,5
AT2G25470,AT1G12940,0.03405072809146779,5
AT1G71950,AT2G15620,0.02470538472115557,5
AT1G64170,AT5G37600,0.02946065695769129,5
AT2G44370,AT1G49000,0.056442257481226624,5
AT3G48650,AT3G52450,0.028613131815632326,5
AT4G23210,AT1G61380,0.02351572820624513,5
AT1G37130,AT3G19930,0.029471076343286527,5
AT4G01250,AT1G61360,0.047824952346550084,5
AT5G66420,AT5G39580,0.024539167929050767,5
AT1G72300,AT4G20430,0.02007367457797101,5
AT5G45650,AT5G19660,0.02372976015211728,5
AT1G64170,AT2G25470,0.031113243047113194,5
AT5G54160,AT4G30190,0.030431327621995345,5
AT2G41220,AT4G27730,0.024334549652857026,5
AT1G19380,AT1G65490,0.04544670734293611,5
AT3G52450,AT2G39200,0.05202190178566042,5
AT5G10450,AT5G13930,0.02222756167873152,5
AT2G37040,AT2G19190,0.027369754542661245,5
