"","V1"
"1",c("AT2G47380", "AT1G50950", "AT1G65032", "AT5G55650", "AT2G41360", "AT2G46690", "AT5G54440", "AT4G01490", "AT3G44220", "AT3G27470", "AT5G18710", "AT4G29540", "AT1G79850", "AT4G17060", "AT3G50110", "AT1G05205", "AT1G54440", "AT4G21320", "AT4G33030", "AT2G29580", "AT1G08600", "AT2G31725", "AT5G66220", "AT5G44120", "AT1G06560", "AT1G48130", "AT1G03880", "AT1G06680", "AT1G06750", "AT4G26740", "AT2G28490", "AT4G25140", "AT3G10860", "AT5G55240", "AT1G04560", "AT3G22640", "AT3G01570", "AT5G01530", "AT2G23640", 
"AT4G28520", "AT3G54940")
"10",c("AT5G13720", "AT3G19553", "AT1G68050", "AT5G13110", "AT3G60410", "AT1G32030", "AT2G14750", "AT2G14760", "AT4G39940", "AT1G18590", "AT2G46650", "AT2G20610")
"11",c("AT4G34940", "AT1G56310", "AT1G72230", "AT2G12650", "AT2G15630", "AT1G66660", "AT1G10160", "AT2G37030", "AT3G23540", "AT5G26770", "AT1G07410", "AT5G09530", "AT5G37690", "AT4G38080", "AT5G09520", "AT2G48140", "AT2G48130", "AT5G41040", "AT3G22620", "AT1G56320", "AT5G44550", "AT1G68850", "AT1G05450", "AT2G22510")
"12",c("AT4G32380", "AT5G15920", "AT1G70300", "AT5G19430", "AT5G61660", "AT3G01090", "AT5G52820", "AT3G05090", "AT3G23980", "AT1G77885", "AT2G33420", "AT2G37250", "AT2G34390", "AT2G29870", "AT5G10040", "AT3G27220", "AT2G17850", "AT5G39890", "AT3G02550", "AT4G10265", "AT3G06435", "AT4G33070", "AT1G77120", "AT5G64790")
"13",c("AT2G28650", "AT1G35110", "AT3G09650", "AT5G53520", "AT5G62630", "AT4G39680", "AT5G19180", "AT5G62350", "AT2G47910", "AT1G71940", "AT1G55180", "AT3G32990", "AT2G05935", "AT2G07600", "AT3G33000", "AT3G33004", "AT2G07739", "AT2G28820", "AT1G34680")
"14",c("AT3G54150", "AT3G14310", "AT1G55370", "AT3G15450", "AT4G38470", "AT4G03510", "AT3G15630", "AT5G22920", "AT5G20250")
"15",c("AT2G19790", "AT5G61040", "AT4G25750", "AT3G57640", "AT3G22580", "AT3G47420", "AT5G20150", "AT3G02040", "AT3G17790", "AT2G26660")
"16",c("AT3G55280", "AT1G11060", "AT4G31300", "AT5G56520", "AT4G24190", "AT3G53430", "AT3G60770")
"17",c("AT2G16310", "AT1G55590", "AT3G23160", "AT3G13120", "AT1G34000", "AT5G17220", "AT4G22880", "AT5G42800", "AT5G54060")
"18",c("AT1G24270", "AT5G46050", "AT2G34670", "AT4G08560", "AT4G27180", "AT1G30650", "AT1G52400", "AT1G52030", "AT1G52410", "AT2G39310", "AT3G16470", "AT2G39330")
"19",c("AT5G57310", "AT2G05260", "AT5G12040", "AT1G20630", "AT1G20620", "AT1G20470", "AT1G20480", "AT2G30990")
