Gene1,Gene2,Score
AT5G52820,AT3G06435,0.010204260424509698
AT1G12250,AT5G16250,0.010202314159679713
AT2G28180,AT4G16590,0.01020149820205184
AT3G09710,AT2G19720,0.010200084154466058
AT3G52360,AT5G22880,0.010195285296627204
AT3G09280,AT1G28330,0.010189961216743619
AT1G66660,AT2G48140,0.010184578666734199
AT2G01060,AT3G10500,0.010183516222057223
AT1G12250,AT4G31840,0.010181462796662542
AT5G66920,AT3G56970,0.010181280643167362
AT1G70260,AT5G12860,0.010179450200510098
AT4G38680,AT3G45060,0.010175210027651621
AT1G56310,AT5G09520,0.010166850730761044
AT5G23903,AT5G05270,0.010160554404510745
AT5G28040,AT4G25820,0.010159178960862509
AT3G50110,AT5G44120,0.010141796402769692
AT2G17430,AT5G54830,0.010140471936111565
AT2G20420,AT2G41180,0.010135630718276055
AT2G21195,AT3G18600,0.010122224336048959
AT5G54440,AT2G28490,0.010120383120752967
AT2G03090,AT1G51680,0.010118554703890361
AT5G63135,AT3G57450,0.010112331401161934
AT2G47910,AT3G33000,0.01010181916463319
AT3G44910,AT5G05500,0.010090502870833523
AT5G27900,AT2G35075,0.010080823131382779
AT1G60995,AT3G62400,0.010069235058453632
AT3G15740,AT2G05580,0.010068386901026445
AT1G66200,AT2G25060,0.01006726665228899
AT1G30650,AT3G16470,0.01006695546974231
AT4G24790,AT3G03190,0.010065954976658928
AT5G47220,AT1G64380,0.010048821163575871
AT5G67320,AT2G26150,0.010039387461024783
AT1G10160,AT4G38080,0.010031726229604509
AT1G71940,AT3G32990,0.01002648055480882
AT1G49370,AT2G23120,0.010024756456317056
AT1G11350,AT3G55910,0.01001373907102245
AT3G50651,AT3G25180,0.010011668815513476
AT5G15600,AT1G08560,0.010008678309816848
AT5G09950,AT1G52300,0.010006511663107598
AT1G03990,AT5G23010,0.009996786105277159
AT4G04780,AT1G70290,0.009993381859669009
AT1G55370,AT3G15630,0.009990168912289389
AT4G03230,AT1G30870,0.009988982951712216
AT5G40370,AT4G22505,0.009985005810391662
AT3G17430,AT1G72600,0.009978819529687554
AT2G19790,AT5G20150,0.009972476180244685
AT4G13575,AT5G06320,0.009967862271091175
AT1G49130,AT1G12520,0.009962749596072143
AT2G33385,AT1G18740,0.009959334777028605
AT5G45060,AT4G23660,0.009956031986035854
AT1G56310,AT5G41040,0.009953661317738862
AT1G23010,AT3G47340,0.009952847343655688
AT5G53920,AT4G25740,0.009949986823912758
AT2G20890,AT2G39670,0.009946798892729102
AT5G52540,AT3G17520,0.009945818412729259
AT3G60410,AT4G39940,0.009937218741573314
AT1G55370,AT3G15450,0.009936659670685891
AT5G45113,AT3G23390,0.009918697711850867
AT2G12557,AT3G27630,0.009917406038180487
AT4G14770,AT5G47930,0.009911486873720404
AT1G11180,AT1G74960,0.009908777125593909
AT5G19790,AT1G62560,0.00990860629508883
AT4G05632,AT1G74360,0.009907455959846809
AT1G05205,AT1G48130,0.009905533517790475
AT2G36250,AT3G46620,0.0098996567613111
AT3G04500,AT4G29430,0.009898806538972075
AT3G16810,AT1G28590,0.009896516830056601
AT1G21650,AT1G20340,0.009896390661510138
AT2G26180,AT1G05420,0.009892178231650298
AT3G14050,AT5G63420,0.009886501276201377
AT4G14160,AT5G45690,0.009874003214583565
AT4G24790,AT3G58990,0.009871294245628985
AT1G50950,AT1G06680,0.009870313439517003
AT1G49330,AT1G68250,0.009868946210754669
AT5G19790,AT4G03060,0.009862735933345497
AT1G04080,AT1G02450,0.009861856578058643
AT4G16360,AT5G42790,0.009859850381614969
AT2G21050,AT2G25110,0.009855804277474758
AT5G07510,AT5G51190,0.009855580650264883
AT1G56310,AT3G22620,0.009850163893963645
AT5G63750,AT5G59970,0.009847919262597328
AT5G37450,AT5G53450,0.009847902025348415
AT1G80000,AT1G73805,0.009847722673118349
AT2G45030,AT1G59860,0.009847482812735214
AT4G24890,AT5G26960,0.009847018335571469
AT2G45800,AT5G06200,0.00984674256759371
AT1G09750,AT5G59870,0.009844022044498524
AT4G04960,AT2G18370,0.009843683597817909
AT3G11980,AT2G26380,0.009843313806575365
AT5G06530,AT4G16660,0.009841858830051007
AT1G42705,AT1G02405,0.009840622052030672
AT1G18530,AT5G52640,0.009840086827978751
AT3G59460,AT3G24500,0.009836540022424116
AT5G67320,AT2G29500,0.0098323085856716
AT3G03980,AT1G07940,0.009831449110415762
AT2G28900,AT3G04840,0.009831444858433153
AT4G00650,AT4G12030,0.00982804225968166
AT4G29440,AT2G35930,0.009825349407954383
AT1G65032,AT4G26740,0.009823914718755468
AT1G45000,AT2G34410,0.009823652498544791
AT5G59520,AT2G36100,0.009823118664856788
AT2G47380,AT4G25140,0.009822121637828137
AT5G50420,AT5G12130,0.009812999165842185
AT4G01210,AT5G11890,0.009811126961029225
AT5G04690,AT3G47470,0.009808509775233561
AT5G66920,AT3G47640,0.00980411997395259
AT1G30650,AT1G52410,0.009803726598277017
AT3G13235,AT2G20560,0.00980211356972212
AT3G13070,AT1G16510,0.009793461598625052
AT1G63740,AT5G58370,0.009782829516078494
AT3G04070,AT4G15980,0.009782044261651633
AT3G18540,AT3G24600,0.009779195641948492
AT3G59460,AT1G66080,0.009778990866033215
AT2G05210,AT5G06510,0.00977824680921685
AT5G54440,AT1G48130,0.00977076666663914
AT1G20510,AT3G27380,0.009768296462256658
AT4G38950,AT1G72600,0.009767280832236117
AT1G54440,AT3G01570,0.009766876510686194
AT3G18400,AT5G42765,0.009765656405023403
AT4G17895,AT1G64370,0.009764349870209065
AT4G21320,AT1G06680,0.00976264519672461
AT4G04320,AT3G06770,0.009760091852614148
AT1G04230,AT4G29020,0.009759133863029972
AT3G03810,AT5G59970,0.009758030248295775
AT4G21320,AT5G01530,0.009754082588755326
AT4G31300,AT3G55280,0.009752819818432314
AT1G05180,AT3G27630,0.0097476617254632
AT1G04450,AT4G08620,0.009747545322305855
AT5G36228,AT5G45690,0.00974660939347316
AT5G19485,AT5G26360,0.00974476751503563
AT5G43940,AT2G11810,0.009739734216539784
AT1G18580,AT3G25920,0.009737661225810655
AT5G61310,AT3G46320,0.009736654258498834
AT5G06530,AT1G21750,0.009733307504521015
AT5G43020,AT3G26520,0.009727973915125395
AT5G38240,AT3G54470,0.009726482624808484
AT4G25750,AT3G02040,0.00972523342814268
AT5G23530,AT1G17345,0.009724506957777958
AT3G17910,AT5G23010,0.009723640067313074
AT4G38890,AT1G02405,0.009722918626812585
AT4G27760,AT1G21320,0.009719813063685773
AT3G29175,AT4G35420,0.00971900545760251
AT2G45800,AT2G32300,0.009714606157492612
AT1G05205,AT2G23640,0.00971254268831141
AT2G46690,AT5G44120,0.009704509243482802
AT1G24650,AT2G39670,0.009703135500219886
AT1G42705,AT5G11890,0.009703096134204711
AT1G05970,AT5G45690,0.009694504608326809
AT1G22330,AT2G29570,0.00968374291992141
AT3G14230,AT3G05560,0.009676547028256034
AT1G49230,AT2G06520,0.009674212985706093
AT3G54660,AT5G03010,0.009666922358281042
AT3G25980,AT5G05270,0.009660590878823141
AT5G53520,AT1G34680,0.009656549561667907
AT3G59250,AT3G61890,0.009651545283927226
AT5G61920,AT3G54600,0.009651434727773276
AT3G60640,AT1G12610,0.009649663478071528
AT5G53390,AT3G22120,0.009642858842351415
AT5G34831,AT3G49530,0.009642719257581693
AT3G50110,AT4G28520,0.009642505791570824
AT3G54150,AT5G22920,0.009639932669240214
